words,links,capital_words,spam_word_count,is_spam
297,5,6,2,1
240,0,2,1,0
936,3,29,4,1
455,2,3,1,0
182,2,26,10,1
247,10,2,6,1
846,0,4,4,1
39,0,0,0,0
200,2,2,5,0
700,6,22,4,1
935,5,18,9,1
83,8,14,8,1
180,2,0,1,0
83,10,5,4,1
527,4,20,9,1
182,2,0,5,0
679,3,16,5,1
329,3,1,2,0
434,0,1,4,0
194,10,27,5,1
139,5,3,2,0
232,1,0,1,0
192,0,17,7,1
198,5,27,0,1
347,0,3,1,0
499,2,19,4,1
200,2,6,0,0
78,1,10,2,0
638,7,25,9,1
258,2,0,0,0
665,8,6,5,1
185,1,0,7,1
177,2,3,1,0
64,1,5,2,0
75,1,4,0,0
259,0,3,1,0
895,4,22,2,1
126,1,2,1,0
337,0,9,0,0
203,0,7,2,0
189,4,8,9,1
242,1,0,0,0
121,5,3,0,0
155,2,17,5,1
552,4,23,9,1
224,5,3,1,0
394,8,27,9,1
50,0,3,4,1
92,1,1,1,0
74,2,3,0,0
290,2,2,2,0
213,2,8,1,0
504,3,0,10,1
30,5,3,1,0
331,3,8,10,1
274,2,2,5,1
300,5,3,6,1
956,9,10,10,1
314,8,28,2,1
193,4,1,2,0
253,2,0,1,0
21,2,1,1,0
149,6,25,5,1
126,0,0,1,0
438,4,1,0,0
174,1,2,2,0
427,1,1,5,0
130,1,2,5,0
46,0,7,0,0
730,0,19,8,1
110,9,12,0,1
526,8,23,9,1
100,1,0,0,0
63,6,9,8,1
121,0,27,4,1
291,9,22,6,1
64,1,4,2,0
138,6,26,0,1
216,0,8,2,0
171,1,1,1,0
237,2,3,6,0
798,5,12,7,1
933,3,29,4,1
842,2,16,4,1
952,8,27,5,1
469,4,3,5,1
153,4,1,1,0
550,4,19,4,1
295,2,2,1,0
87,0,3,0,0
80,3,1,6,0
236,1,0,2,0
569,3,1,8,1
256,3,23,4,1
290,0,9,3,0
874,6,25,4,1
366,2,3,0,0
62,7,21,7,1
233,5,0,0,0
205,1,5,6,0
825,6,21,8,1
35,1,0,2,0
176,1,6,2,0
679,7,14,7,1
202,1,3,0,0
227,1,0,4,0
166,2,1,2,0
32,1,2,0,0
308,3,19,3,1
230,1,2,2,0
65,7,15,6,1
50,1,3,0,0
89,10,28,4,1
103,0,1,0,0
97,2,1,1,0
416,2,0,4,0
835,10,4,8,1
252,9,29,3,1
38,1,3,2,0
274,4,23,4,1
445,2,3,2,0
312,3,3,2,0
283,2,3,1,0
911,3,17,4,1
630,5,5,4,1
252,2,26,6,1
151,1,0,1,0
768,7,19,3,1
248,0,5,4,0
923,4,20,5,1
289,0,0,2,0
190,3,26,2,1
688,8,6,1,1
696,6,28,8,1
57,1,10,2,0
162,8,12,8,1
210,3,5,9,1
213,0,1,5,1
456,7,24,9,1
194,2,5,1,0
929,7,19,1,1
275,2,2,2,0
140,8,25,7,1
882,1,18,9,1
141,1,2,1,0
239,2,26,10,1
731,10,0,8,1
844,10,8,1,1
195,10,25,3,1
750,7,4,10,1
514,2,11,3,1
148,2,9,5,1
591,9,7,4,1
226,2,3,2,0
380,1,0,1,0
159,2,3,0,0
340,0,2,2,0
395,0,0,3,0
298,2,2,3,0
405,9,1,4,1
108,1,2,0,0
521,4,14,8,1
340,2,9,8,1
418,7,20,3,1
90,1,3,2,0
333,2,0,2,0
335,8,20,1,1
753,1,5,3,1
294,1,0,1,0
229,1,0,6,0
196,1,1,2,0
452,3,2,0,1
675,9,26,2,1
182,2,5,2,0
31,5,1,6,0
459,7,22,7,1
192,0,29,4,1
99,0,1,1,0
62,2,2,0,0
212,2,0,6,0
136,0,1,2,0
120,0,17,6,1
173,5,1,2,0
735,10,29,1,1
59,1,3,2,0
194,3,19,3,1
479,1,0,1,0
130,2,3,0,0
782,6,6,8,1
517,2,18,10,1
442,0,23,5,1
192,9,5,10,1
229,2,3,0,0
260,1,1,0,0
370,1,1,0,0
165,0,20,4,1
212,4,1,10,1
247,2,4,5,0
822,2,10,8,1
357,1,3,1,0
189,2,3,2,0
178,1,2,2,0
201,2,1,2,0
161,0,1,2,0
171,0,1,0,0
129,2,21,7,1
165,3,4,0,0
57,0,2,0,0
640,5,4,5,1
